SampleNumber,value,Unit,Wday,Day,Month,Year,Hour,Date,DateTime
1,12.86,Gbps,Sun,14,8,2016,0:00:00,14/8/2016,8/14/2016 0:00
2,12.67,Gbps,Sun,14,8,2016,0:15:00,14/8/2016,8/14/2016 0:15
3,12.64,Gbps,Sun,14,8,2016,0:30:00,14/8/2016,8/14/2016 0:30
4,12.51,Gbps,Sun,14,8,2016,0:45:00,14/8/2016,8/14/2016 0:45
5,12.52,Gbps,Sun,14,8,2016,1:00:00,14/8/2016,8/14/2016 1:00
6,12.4,Gbps,Sun,14,8,2016,1:15:00,14/8/2016,8/14/2016 1:15
7,12.27,Gbps,Sun,14,8,2016,1:30:00,14/8/2016,8/14/2016 1:30
8,12,Gbps,Sun,14,8,2016,1:45:00,14/8/2016,8/14/2016 1:45
9,11.65,Gbps,Sun,14,8,2016,2:00:00,14/8/2016,8/14/2016 2:00
10,11.52,Gbps,Sun,14,8,2016,2:15:00,14/8/2016,8/14/2016 2:15
11,11.17,Gbps,Sun,14,8,2016,2:30:00,14/8/2016,8/14/2016 2:30
12,10.75,Gbps,Sun,14,8,2016,2:45:00,14/8/2016,8/14/2016 2:45
13,10.09,Gbps,Sun,14,8,2016,3:00:00,14/8/2016,8/14/2016 3:00
14,9.65,Gbps,Sun,14,8,2016,3:15:00,14/8/2016,8/14/2016 3:15
15,8.93,Gbps,Sun,14,8,2016,3:30:00,14/8/2016,8/14/2016 3:30
16,8.3,Gbps,Sun,14,8,2016,3:45:00,14/8/2016,8/14/2016 3:45
17,7.55,Gbps,Sun,14,8,2016,4:00:00,14/8/2016,8/14/2016 4:00
18,7.03,Gbps,Sun,14,8,2016,4:15:00,14/8/2016,8/14/2016 4:15
19,6.68,Gbps,Sun,14,8,2016,4:30:00,14/8/2016,8/14/2016 4:30
20,6.46,Gbps,Sun,14,8,2016,4:45:00,14/8/2016,8/14/2016 4:45
21,6.17,Gbps,Sun,14,8,2016,5:00:00,14/8/2016,8/14/2016 5:00
22,5.73,Gbps,Sun,14,8,2016,5:15:00,14/8/2016,8/14/2016 5:15
23,5.47,Gbps,Sun,14,8,2016,5:30:00,14/8/2016,8/14/2016 5:30
24,5.17,Gbps,Sun,14,8,2016,5:45:00,14/8/2016,8/14/2016 5:45
25,4.98,Gbps,Sun,14,8,2016,6:00:00,14/8/2016,8/14/2016 6:00
26,4.75,Gbps,Sun,14,8,2016,6:15:00,14/8/2016,8/14/2016 6:15
27,4.59,Gbps,Sun,14,8,2016,6:30:00,14/8/2016,8/14/2016 6:30
28,4.64,Gbps,Sun,14,8,2016,6:45:00,14/8/2016,8/14/2016 6:45
29,4.69,Gbps,Sun,14,8,2016,7:00:00,14/8/2016,8/14/2016 7:00
30,4.84,Gbps,Sun,14,8,2016,7:15:00,14/8/2016,8/14/2016 7:15
31,4.94,Gbps,Sun,14,8,2016,7:30:00,14/8/2016,8/14/2016 7:30
32,5.11,Gbps,Sun,14,8,2016,7:45:00,14/8/2016,8/14/2016 7:45
33,5.45,Gbps,Sun,14,8,2016,8:00:00,14/8/2016,8/14/2016 8:00
34,5.62,Gbps,Sun,14,8,2016,8:15:00,14/8/2016,8/14/2016 8:15
35,6.02,Gbps,Sun,14,8,2016,8:30:00,14/8/2016,8/14/2016 8:30
36,6.32,Gbps,Sun,14,8,2016,8:45:00,14/8/2016,8/14/2016 8:45
37,6.69,Gbps,Sun,14,8,2016,9:00:00,14/8/2016,8/14/2016 9:00
38,7.04,Gbps,Sun,14,8,2016,9:15:00,14/8/2016,8/14/2016 9:15
39,7.4,Gbps,Sun,14,8,2016,9:30:00,14/8/2016,8/14/2016 9:30
40,7.73,Gbps,Sun,14,8,2016,9:45:00,14/8/2016,8/14/2016 9:45
41,8,Gbps,Sun,14,8,2016,10:00:00,14/8/2016,8/14/2016 10:00
42,8.27,Gbps,Sun,14,8,2016,10:15:00,14/8/2016,8/14/2016 10:15
43,8.55,Gbps,Sun,14,8,2016,10:30:00,14/8/2016,8/14/2016 10:30
44,8.8,Gbps,Sun,14,8,2016,10:45:00,14/8/2016,8/14/2016 10:45
45,9.09,Gbps,Sun,14,8,2016,11:00:00,14/8/2016,8/14/2016 11:00
46,9.36,Gbps,Sun,14,8,2016,11:15:00,14/8/2016,8/14/2016 11:15
47,9.57,Gbps,Sun,14,8,2016,11:30:00,14/8/2016,8/14/2016 11:30
48,9.77,Gbps,Sun,14,8,2016,11:45:00,14/8/2016,8/14/2016 11:45
49,10.05,Gbps,Sun,14,8,2016,12:00:00,14/8/2016,8/14/2016 12:00
50,10.03,Gbps,Sun,14,8,2016,12:15:00,14/8/2016,8/14/2016 12:15
51,10.11,Gbps,Sun,14,8,2016,12:30:00,14/8/2016,8/14/2016 12:30
52,10.46,Gbps,Sun,14,8,2016,12:45:00,14/8/2016,8/14/2016 12:45
53,10.61,Gbps,Sun,14,8,2016,13:00:00,14/8/2016,8/14/2016 13:00
54,10.87,Gbps,Sun,14,8,2016,13:15:00,14/8/2016,8/14/2016 13:15
55,11.04,Gbps,Sun,14,8,2016,13:30:00,14/8/2016,8/14/2016 13:30
56,11.12,Gbps,Sun,14,8,2016,13:45:00,14/8/2016,8/14/2016 13:45
57,11.2,Gbps,Sun,14,8,2016,14:00:00,14/8/2016,8/14/2016 14:00
58,11.3,Gbps,Sun,14,8,2016,14:15:00,14/8/2016,8/14/2016 14:15
59,11.24,Gbps,Sun,14,8,2016,14:30:00,14/8/2016,8/14/2016 14:30
60,11.31,Gbps,Sun,14,8,2016,14:45:00,14/8/2016,8/14/2016 14:45
61,11.31,Gbps,Sun,14,8,2016,15:00:00,14/8/2016,8/14/2016 15:00
62,11.28,Gbps,Sun,14,8,2016,15:15:00,14/8/2016,8/14/2016 15:15
63,11.34,Gbps,Sun,14,8,2016,15:30:00,14/8/2016,8/14/2016 15:30
64,11.17,Gbps,Sun,14,8,2016,15:45:00,14/8/2016,8/14/2016 15:45
65,10.98,Gbps,Sun,14,8,2016,16:00:00,14/8/2016,8/14/2016 16:00
66,10.93,Gbps,Sun,14,8,2016,16:15:00,14/8/2016,8/14/2016 16:15
67,11.02,Gbps,Sun,14,8,2016,16:30:00,14/8/2016,8/14/2016 16:30
68,11.1,Gbps,Sun,14,8,2016,16:45:00,14/8/2016,8/14/2016 16:45
69,11.05,Gbps,Sun,14,8,2016,17:00:00,14/8/2016,8/14/2016 17:00
70,11.02,Gbps,Sun,14,8,2016,17:15:00,14/8/2016,8/14/2016 17:15
71,11.03,Gbps,Sun,14,8,2016,17:30:00,14/8/2016,8/14/2016 17:30
72,11.13,Gbps,Sun,14,8,2016,17:45:00,14/8/2016,8/14/2016 17:45
73,11.11,Gbps,Sun,14,8,2016,18:00:00,14/8/2016,8/14/2016 18:00
74,11.15,Gbps,Sun,14,8,2016,18:15:00,14/8/2016,8/14/2016 18:15
75,11.17,Gbps,Sun,14,8,2016,18:30:00,14/8/2016,8/14/2016 18:30
76,11.08,Gbps,Sun,14,8,2016,18:45:00,14/8/2016,8/14/2016 18:45
77,10.92,Gbps,Sun,14,8,2016,19:00:00,14/8/2016,8/14/2016 19:00
78,11.03,Gbps,Sun,14,8,2016,19:15:00,14/8/2016,8/14/2016 19:15
79,11.31,Gbps,Sun,14,8,2016,19:30:00,14/8/2016,8/14/2016 19:30
80,11.42,Gbps,Sun,14,8,2016,19:45:00,14/8/2016,8/14/2016 19:45
81,11.52,Gbps,Sun,14,8,2016,20:00:00,14/8/2016,8/14/2016 20:00
82,11.46,Gbps,Sun,14,8,2016,20:15:00,14/8/2016,8/14/2016 20:15
83,11.52,Gbps,Sun,14,8,2016,20:30:00,14/8/2016,8/14/2016 20:30
84,11.48,Gbps,Sun,14,8,2016,20:45:00,14/8/2016,8/14/2016 20:45
85,11.63,Gbps,Sun,14,8,2016,21:00:00,14/8/2016,8/14/2016 21:00
86,11.66,Gbps,Sun,14,8,2016,21:15:00,14/8/2016,8/14/2016 21:15
87,11.71,Gbps,Sun,14,8,2016,21:30:00,14/8/2016,8/14/2016 21:30
88,11.82,Gbps,Sun,14,8,2016,21:45:00,14/8/2016,8/14/2016 21:45
89,11.86,Gbps,Sun,14,8,2016,22:00:00,14/8/2016,8/14/2016 22:00
90,12.01,Gbps,Sun,14,8,2016,22:15:00,14/8/2016,8/14/2016 22:15
91,12.29,Gbps,Sun,14,8,2016,22:30:00,14/8/2016,8/14/2016 22:30
92,12.42,Gbps,Sun,14,8,2016,22:45:00,14/8/2016,8/14/2016 22:45
93,12.57,Gbps,Sun,14,8,2016,23:00:00,14/8/2016,8/14/2016 23:00
94,12.66,Gbps,Sun,14,8,2016,23:15:00,14/8/2016,8/14/2016 23:15
95,12.83,Gbps,Sun,14,8,2016,23:30:00,14/8/2016,8/14/2016 23:30
96,13.02,Gbps,Sun,14,8,2016,23:45:00,14/8/2016,8/14/2016 23:45
97,13.24,Gbps,Mon,15,8,2016,0:00:00,15/8/2016,8/15/2016 0:00
98,12.82,Gbps,Mon,15,8,2016,0:15:00,15/8/2016,8/15/2016 0:15
99,12.97,Gbps,Mon,15,8,2016,0:30:00,15/8/2016,8/15/2016 0:30
100,12.77,Gbps,Mon,15,8,2016,0:45:00,15/8/2016,8/15/2016 0:45
101,12.7,Gbps,Mon,15,8,2016,1:00:00,15/8/2016,8/15/2016 1:00
102,12.63,Gbps,Mon,15,8,2016,1:15:00,15/8/2016,8/15/2016 1:15
103,12.52,Gbps,Mon,15,8,2016,1:30:00,15/8/2016,8/15/2016 1:30
104,12.49,Gbps,Mon,15,8,2016,1:45:00,15/8/2016,8/15/2016 1:45
105,12.17,Gbps,Mon,15,8,2016,2:00:00,15/8/2016,8/15/2016 2:00
106,11.8,Gbps,Mon,15,8,2016,2:15:00,15/8/2016,8/15/2016 2:15
107,11.18,Gbps,Mon,15,8,2016,2:30:00,15/8/2016,8/15/2016 2:30
108,10.63,Gbps,Mon,15,8,2016,2:45:00,15/8/2016,8/15/2016 2:45
109,10.06,Gbps,Mon,15,8,2016,3:00:00,15/8/2016,8/15/2016 3:00
110,9.42,Gbps,Mon,15,8,2016,3:15:00,15/8/2016,8/15/2016 3:15
111,8.83,Gbps,Mon,15,8,2016,3:30:00,15/8/2016,8/15/2016 3:30
112,8.23,Gbps,Mon,15,8,2016,3:45:00,15/8/2016,8/15/2016 3:45
113,7.43,Gbps,Mon,15,8,2016,4:00:00,15/8/2016,8/15/2016 4:00
114,6.91,Gbps,Mon,15,8,2016,4:15:00,15/8/2016,8/15/2016 4:15
115,6.66,Gbps,Mon,15,8,2016,4:30:00,15/8/2016,8/15/2016 4:30
116,6.44,Gbps,Mon,15,8,2016,4:45:00,15/8/2016,8/15/2016 4:45
117,6.11,Gbps,Mon,15,8,2016,5:00:00,15/8/2016,8/15/2016 5:00
